,Jac_modA,Jac_modB,Jac_modC,Jac_ensamble,DSC_modA,DSC_modB,DSC_modC,DSC_ensamble,placa
278.png,0.6323,0.643,0.643,0.643,0.7748,0.7827,0.7827,0.7827,1
34.png,0.3115,0.2858,0.2858,0.2858,0.4749,0.4446,0.4446,0.4446,1
46.png,0.6249,0.5733,0.5733,0.5733,0.7691,0.7288,0.7288,0.7288,1
64.png,0.6068,0.5194,0.5194,0.5194,0.7553,0.6837,0.6837,0.6837,1
41.png,0.0005,0.1899,0.1899,0.1899,0.0005,0.3191,0.3191,0.3191,1
279.png,0.7161,0.5512,0.5512,0.5512,0.8346,0.7107,0.7107,0.7107,1
258.png,0.6951,0.6965,0.6965,0.6965,0.8201,0.8211,0.8211,0.8211,1
262.png,0.5893,0.4512,0.4512,0.4512,0.7416,0.6218,0.6218,0.6218,1
62.png,0.5082,0.3949,0.3949,0.3949,0.6739,0.5662,0.5662,0.5662,1
264.png,0.4362,0.3523,0.3523,0.3523,0.6074,0.521,0.521,0.521,1
260.png,0.5617,0.5163,0.5163,0.5163,0.7193,0.681,0.681,0.681,1
92.png,0.2572,0.1347,0.1347,0.1347,0.4091,0.2373,0.2373,0.2373,1
67.png,0.7038,0.5834,0.5834,0.5834,0.8261,0.7369,0.7369,0.7369,1
267.png,0.5802,0.5534,0.5534,0.5534,0.7343,0.7125,0.7125,0.7125,1
72.png,0.7061,0.7474,0.7474,0.7474,0.8277,0.8554,0.8554,0.8554,1
69.png,0.39,0.2358,0.2358,0.2358,0.5611,0.3815,0.3815,0.3815,1
87.png,0.6074,0.5172,0.5172,0.5172,0.7557,0.6818,0.6818,0.6818,1
290.png,0.3803,0.3435,0.3435,0.3435,0.551,0.5113,0.5113,0.5113,1
256.png,0.7941,0.6307,0.6307,0.6307,0.8852,0.7735,0.7735,0.7735,1
97.png,0.2049,0.173,0.173,0.173,0.34,0.2949,0.2949,0.2949,1
98.png,0.7027,0.2053,0.2053,0.2053,0.8254,0.3406,0.3406,0.3406,1
99.png,0.4679,0.3248,0.3248,0.3248,0.6374,0.4903,0.4903,0.4903,1
95.png,0.6367,0.3685,0.3685,0.3685,0.778,0.5385,0.5385,0.5385,1
94.png,0.5817,0.4845,0.4845,0.4845,0.7356,0.6528,0.6528,0.6528,1
303.png,0.7505,0.5688,0.5688,0.5688,0.8575,0.7251,0.7251,0.7251,1
304.png,0.6129,0.4957,0.4957,0.4957,0.76,0.6628,0.6628,0.6628,1
302.png,0.4471,0.298,0.298,0.298,0.6179,0.4592,0.4592,0.4592,1
301.png,0.6,0.4641,0.4641,0.4641,0.75,0.634,0.634,0.634,1
306.png,0.2467,0.2216,0.2216,0.2216,0.3957,0.3628,0.3628,0.3628,1
305.png,0.4784,0.3702,0.3702,0.3702,0.6472,0.5404,0.5404,0.5404,1
310.png,0.653,0.5529,0.5529,0.5529,0.7901,0.7121,0.7121,0.7121,1
308.png,0.591,0.4158,0.4158,0.4158,0.7429,0.5873,0.5873,0.5873,1
309.png,0.6406,0.5922,0.5922,0.5922,0.7809,0.7439,0.7439,0.7439,1
307.png,0.5093,0.4153,0.4153,0.4153,0.6748,0.5869,0.5869,0.5869,1
312.png,0.4415,0.4299,0.4299,0.4299,0.6126,0.6013,0.6013,0.6013,1
311.png,0.7512,0.6631,0.6631,0.6631,0.8579,0.7974,0.7974,0.7974,1
314.png,0.1491,0.1154,0.1154,0.1154,0.2594,0.2069,0.2069,0.2069,1
313.png,0.3874,0.3611,0.3611,0.3611,0.5584,0.5306,0.5306,0.5306,1
318.png,0.4228,0.3162,0.3162,0.3162,0.5943,0.4804,0.4804,0.4804,1
315.png,0.651,0.5604,0.5604,0.5604,0.7886,0.7183,0.7183,0.7183,1
316.png,0.7407,0.6256,0.6256,0.6256,0.851,0.7697,0.7697,0.7697,1
317.png,0.5111,0.4292,0.4292,0.4292,0.6764,0.6006,0.6006,0.6006,1
320.png,0.4678,0.4716,0.4716,0.4716,0.6374,0.6409,0.6409,0.6409,1
319.png,0.5495,0.5076,0.5076,0.5076,0.7093,0.6734,0.6734,0.6734,1
321.png,0.7269,0.5834,0.5834,0.5834,0.8418,0.7369,0.7369,0.7369,1
322.png,0.5724,0.5723,0.5723,0.5723,0.728,0.728,0.728,0.728,1
325.png,0.2988,0.3176,0.3176,0.3176,0.4601,0.482,0.482,0.482,1
324.png,0.3421,0.2891,0.2891,0.2891,0.5098,0.4485,0.4485,0.4485,1
323.png,0.7997,0.6401,0.6401,0.6401,0.8887,0.7806,0.7806,0.7806,1
329.png,0.6271,0.6219,0.6219,0.6219,0.7708,0.7668,0.7668,0.7668,1
327.png,0.3505,0.272,0.272,0.272,0.519,0.4276,0.4276,0.4276,1
328.png,0.3963,0.3989,0.3989,0.3989,0.5676,0.5702,0.5702,0.5702,1
326.png,0.2109,0.2458,0.2458,0.2458,0.3483,0.3946,0.3946,0.3946,1
331.png,0.6441,0.3924,0.3924,0.3924,0.7835,0.5636,0.5636,0.5636,1
333.png,0.5413,0.4952,0.4952,0.4952,0.7024,0.6623,0.6623,0.6623,1
332.png,0.5442,0.5567,0.5567,0.5567,0.7048,0.7152,0.7152,0.7152,1
330.png,0.5154,0.3801,0.3801,0.3801,0.6802,0.5508,0.5508,0.5508,1
335.png,0.6877,0.5485,0.5485,0.5485,0.8149,0.7084,0.7084,0.7084,1
336.png,0.3056,0.3093,0.3093,0.3093,0.4681,0.4725,0.4725,0.4725,1
334.png,0.1095,0.1161,0.1161,0.1161,0.1972,0.208,0.208,0.208,1
337.png,0.1378,0.1667,0.1667,0.1667,0.2422,0.2857,0.2857,0.2857,1
340.png,0.6365,0.5302,0.5302,0.5302,0.7779,0.693,0.693,0.693,1
338.png,0.5703,0.5169,0.5169,0.5169,0.7263,0.6815,0.6815,0.6815,1
341.png,0.0558,0.1444,0.1444,0.1444,0.1056,0.2522,0.2522,0.2522,1
339.png,0.0001,0.0137,0.0137,0.0137,0.0001,0.027,0.027,0.027,1
343.png,0.4498,0.4106,0.4106,0.4106,0.6204,0.5821,0.5821,0.5821,1
344.png,0.5859,0.4605,0.4605,0.4605,0.7388,0.6306,0.6306,0.6306,1
342.png,0.3276,0.2749,0.2749,0.2749,0.4935,0.4312,0.4312,0.4312,1
346.png,0.8145,0.7158,0.7158,0.7158,0.8978,0.8344,0.8344,0.8344,1
345.png,0.6274,0.5559,0.5559,0.5559,0.7711,0.7145,0.7145,0.7145,1
349.png,0.2621,0.2814,0.2814,0.2814,0.4153,0.4392,0.4392,0.4392,1
347.png,0.6915,0.6382,0.6382,0.6382,0.8176,0.7792,0.7792,0.7792,1
348.png,0.5237,0.5049,0.5049,0.5049,0.6874,0.671,0.671,0.671,1
351.png,0.6048,0.5895,0.5895,0.5895,0.7537,0.7417,0.7417,0.7417,1
350.png,0.7588,0.7109,0.7109,0.7109,0.8629,0.831,0.831,0.831,1
