,Jac_modA,Jac_modB,Jac_modC,Jac_ensamble,DSC_modA,DSC_modB,DSC_modC,DSC_ensamble,placa
159.png,0.6284,0.8891,0.2315,0.7609,0.7718,0.9413,0.3759,0.8642,1
219.png,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,1
14.png,0.7096,0.3642,0.882,0.8913,0.8301,0.5339,0.9373,0.9425,1
249.png,0.4329,0.5349,0.4884,0.5411,0.6042,0.697,0.6562,0.7022,1
116.png,0.2733,0.7147,0.7828,0.7887,0.4292,0.8335,0.8781,0.8819,1
252.png,0.7628,0.7522,0.7726,0.8022,0.8655,0.8586,0.8717,0.8902,1
181.png,0.7484,0.8459,0.5678,0.8105,0.8561,0.9165,0.7243,0.8953,1
125.png,0.318,0.7489,0.3811,0.5054,0.4826,0.8564,0.5518,0.6714,1
250.png,0.7346,0.9205,0.9224,0.918,0.847,0.9586,0.9596,0.9572,1
154.png,0.7581,0.891,0.8787,0.8967,0.8624,0.9424,0.9354,0.9455,1
107.png,0.6593,0.812,0.8312,0.8205,0.7947,0.8963,0.9078,0.9014,1
148.png,0.1316,0.5852,0.6154,0.5861,0.2325,0.7383,0.7619,0.7391,1
177.png,0.7557,0.8725,0.7557,0.8943,0.8609,0.9319,0.8608,0.9442,1
120.png,0.7313,0.7666,0.8537,0.8216,0.8447,0.8679,0.921,0.902,1
179.png,0.6568,0.8707,0.8115,0.8433,0.7928,0.9309,0.8959,0.915,1
185.png,0.5205,0.9109,0.8514,0.8554,0.6846,0.9534,0.9197,0.922,1
20.png,0.4508,0.7538,0.7652,0.8201,0.6214,0.8596,0.867,0.9012,1
241.png,0.7458,0.8483,0.5664,0.8141,0.8544,0.9179,0.7232,0.8975,1
182.png,0.8127,0.8834,0.8879,0.8923,0.8967,0.9381,0.9406,0.9431,1
242.png,0.8083,0.8996,0.8797,0.888,0.894,0.9472,0.936,0.9406,1
178.png,0.6367,0.8541,0.8689,0.8802,0.778,0.9213,0.9299,0.9363,1
190.png,0.6049,0.7492,0.8432,0.7532,0.7538,0.8566,0.9149,0.8592,1
12.png,0.2471,0.8518,0.2508,0.5685,0.3963,0.9199,0.401,0.7248,1
108.png,0.6641,0.8759,0.9088,0.9201,0.7981,0.9338,0.9522,0.9584,1
117.png,0.6566,0.8865,0.7002,0.7929,0.7927,0.9398,0.8237,0.8845,1
216.png,0.3308,0.0007,0.159,0.1445,0.4969,0.0007,0.274,0.2521,1
16.png,0.6838,0.5353,0.8517,0.7883,0.8122,0.6973,0.9199,0.8816,1
139.png,0.7022,0.8779,0.5635,0.8064,0.825,0.935,0.7208,0.8928,1
130.png,0.5727,0.8803,0.8962,0.8906,0.7283,0.9363,0.9453,0.9421,1
10.png,0.3669,0.0001,0.7199,0.3763,0.5368,0.0001,0.8371,0.5468,1
123.png,0.62,0.6953,0.887,0.8335,0.7654,0.8203,0.9401,0.9092,1
112.png,0.5927,0.8397,0.8065,0.8154,0.7443,0.9128,0.8929,0.8983,1
172.png,0.3019,0.8546,0.8848,0.8557,0.4638,0.9216,0.9389,0.9223,1
119.png,0.5406,0.8396,0.8553,0.8535,0.7018,0.9128,0.922,0.921,1
134.png,0.3997,0.4846,0.8477,0.513,0.5711,0.6528,0.9176,0.6781,1
153.png,0.4897,0.7568,0.8288,0.7899,0.6575,0.8616,0.9064,0.8826,1
191.png,0.7346,0.9205,0.9224,0.918,0.847,0.9586,0.9596,0.9572,1
238.png,0.581,0.7596,0.7802,0.7872,0.7349,0.8634,0.8765,0.8809,1
143.png,0.3789,0.8556,0.4201,0.5111,0.5496,0.9222,0.5916,0.6765,1
129.png,0.619,0.8507,0.4407,0.8501,0.7646,0.9193,0.6118,0.919,1
246.png,0.7193,0.8926,0.884,0.9047,0.8367,0.9433,0.9384,0.95,1
209.png,0.001,0.0015,0.0015,0.0015,0.001,0.0015,0.0015,0.0015,1
114.png,0.6541,0.8374,0.8167,0.8278,0.7908,0.9115,0.8991,0.9058,1
208.png,0.0007,0.0621,0.0006,0.0007,0.0007,0.1163,0.0006,0.0007,1
101.png,0.5246,0.851,0.8872,0.8749,0.6882,0.9195,0.9402,0.9333,1
145.png,0.7163,0.866,0.8654,0.8641,0.8347,0.9282,0.9278,0.9271,1
158.png,0.8665,0.8795,0.8745,0.9098,0.9285,0.9359,0.9331,0.9528,1
155.png,0.6686,0.8982,0.929,0.9323,0.8014,0.9464,0.9632,0.965,1
100.png,0.4627,0.6982,0.6758,0.6576,0.6327,0.8223,0.8065,0.7934,1
215.png,0.3615,0.5679,0.7522,0.6239,0.531,0.7244,0.8585,0.7684,1
138.png,0.7447,0.9023,0.2884,0.8838,0.8537,0.9486,0.4477,0.9383,1
118.png,0.6483,0.859,0.9016,0.8721,0.7866,0.9242,0.9482,0.9317,1
136.png,0.3699,0.2628,0.7415,0.4619,0.54,0.4162,0.8515,0.6319,1
210.png,0.4871,0.0022,0.5417,0.618,0.6548,0.0022,0.7025,0.7637,1
168.png,0.138,0.8413,0.7998,0.8429,0.2425,0.9138,0.8888,0.9147,1
131.png,0.0002,0.7978,0.8754,0.7872,0.0002,0.8875,0.9335,0.8809,1
18.png,0.1033,0.7185,0.5903,0.5887,0.1873,0.8362,0.7424,0.7411,1
24.png,0.4602,0.8822,0.8611,0.8626,0.6303,0.9374,0.9254,0.9262,1
164.png,0.3319,0.8368,0.8224,0.8011,0.4984,0.9111,0.9025,0.8896,1
170.png,0.4469,0.8468,0.8516,0.8212,0.6178,0.917,0.9198,0.9018,1
245.png,0.5205,0.9109,0.8514,0.8554,0.6846,0.9534,0.9197,0.922,1
189.png,0.6641,0.8856,0.4682,0.7306,0.7982,0.9393,0.6378,0.8443,1
232.png,0.4924,0.8448,0.8237,0.8402,0.6599,0.9159,0.9033,0.9132,1
240.png,0.4149,0.5073,0.6001,0.5263,0.5865,0.6731,0.75,0.6897,1
121.png,0.668,0.867,0.8058,0.84,0.801,0.9288,0.8925,0.913,1
115.png,0.2743,0.8487,0.8519,0.8275,0.4304,0.9181,0.92,0.9056,1
255.png,0.3941,0.7519,0.7785,0.7807,0.5654,0.8584,0.8755,0.8769,1
236.png,0.7626,0.9113,0.8646,0.9068,0.8653,0.9536,0.9274,0.9511,1
157.png,0.4069,0.8712,0.8602,0.8648,0.5784,0.9312,0.9248,0.9275,1
149.png,0.6397,0.8407,0.8676,0.8485,0.7803,0.9135,0.9291,0.918,1
160.png,0.8196,0.8985,0.8677,0.8996,0.9009,0.9465,0.9292,0.9472,1
144.png,0.5933,0.805,0.8196,0.832,0.7447,0.892,0.9009,0.9083,1
11.png,0.3985,0.2812,0.677,0.4557,0.5699,0.4389,0.8074,0.6261,1
156.png,0.4469,0.7096,0.7437,0.7298,0.6177,0.8302,0.853,0.8438,1
184.png,0.7463,0.784,0.8761,0.8302,0.8547,0.8789,0.9339,0.9072,1
132.png,0.4855,0.861,0.8834,0.8671,0.6536,0.9253,0.9381,0.9288,1
128.png,0.3509,0.0002,0.5834,0.5083,0.5194,0.0002,0.7369,0.674,1
